Unnamed: 0;Unnamed: 0.1;Node_type;Gene;GEX_celltype_Log2FC_Delta;GEX_celltype_Log2FC_Epsprogenitors;GEX_celltype_Log2FC_Epsilon;GEX_celltype_Log2FC_Fev+Delta;Region;Gene_signature_name
333;Ctsf;Gene;Ctsf;-0.026496794;0.60261303;0.7103342;0.6739291;chr19:4897150-4898168;Neurod2_+_(303g)
334;Ctsf;Gene;Ctsf;-0.026496794;0.60261303;0.7103342;0.6739291;chr19:4833842-4834737;Neurod2_+_(303g)
335;Ctsf;Gene;Ctsf;-0.026496794;0.60261303;0.7103342;0.6739291;chr19:4997050-4998011;Neurod2_+_(303g)
336;Ctsf;Gene;Ctsf;-0.026496794;0.60261303;0.7103342;0.6739291;chr19:4899643-4900569;Neurod2_+_(303g)
337;Ctsf;Gene;Ctsf;-0.026496794;0.60261303;0.7103342;0.6739291;chr19:4862766-4863703;Neurod2_+_(303g)
338;Ak8;Gene;Ak8;-0.5163717;0.1867213;0.24313101;-0.21926689;chr2:28702077-28702940;Neurod2_+_(303g)
339;Ak8;Gene;Ak8;-0.5163717;0.1867213;0.24313101;-0.21926689;chr2:28821739-28822632;Neurod2_+_(303g)
373;Slco2a1;Gene;Slco2a1;0.63932216;0.8487403;1.3890184;1.041178;chr9:103167746-103168679;Neurod2_+_(303g)
374;Slco2a1;Gene;Slco2a1;0.63932216;0.8487403;1.3890184;1.041178;chr9:103048715-103049639;Neurod2_+_(303g)
375;Slco2a1;Gene;Slco2a1;0.63932216;0.8487403;1.3890184;1.041178;chr9:103004498-103005339;Neurod2_+_(303g)
376;Slco2a1;Gene;Slco2a1;0.63932216;0.8487403;1.3890184;1.041178;chr9:103143665-103144590;Neurod2_+_(303g)
377;Slco2a1;Gene;Slco2a1;0.63932216;0.8487403;1.3890184;1.041178;chr9:103153112-103154021;Neurod2_+_(303g)
378;Slco2a1;Gene;Slco2a1;0.63932216;0.8487403;1.3890184;1.041178;chr9:102941999-102942935;Neurod2_+_(303g)
379;Slco2a1;Gene;Slco2a1;0.63932216;0.8487403;1.3890184;1.041178;chr9:102924462-102925468;Neurod2_+_(303g)
554;Ssc5d;Gene;Ssc5d;-1.181701;0.60473037;1.0924273;0.5212048;chr7:4783492-4784413;Neurod2_+_(303g)
836;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:127845109-127845915;Neurod2_+_(303g)
837;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:128436577-128437510;Neurod2_+_(303g)
838;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:127988736-127989649;Neurod2_+_(303g)
839;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:127978296-127979217;Neurod2_+_(303g)
840;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:128412202-128413058;Neurod2_+_(303g)
841;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:128451941-128452874;Neurod2_+_(303g)
842;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:127698208-127699185;Neurod2_+_(303g)
843;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:127947090-127947977;Neurod2_+_(303g)
844;Tmem132d;Gene;Tmem132d;-1.1830674;1.1919019;1.3798395;1.0480056;chr5:127956355-127957279;Neurod2_+_(303g)
1186;Cep85l;Gene;Cep85l;-0.23684248;0.08135815;0.12657379;0.012016411;chr10:53376844-53377721;Neurod2_+_(303g)
1187;Cep85l;Gene;Cep85l;-0.23684248;0.08135815;0.12657379;0.012016411;chr10:53335629-53336561;Neurod2_+_(303g)
1447;Slc29a4;Gene;Slc29a4;0.29404303;0.54559046;0.6348491;0.45490843;chr5:142691991-142692885;Neurod2_+_(303g)
1448;Slc29a4;Gene;Slc29a4;0.29404303;0.54559046;0.6348491;0.45490843;chr5:142590860-142591841;Neurod2_+_(303g)
1449;Slc29a4;Gene;Slc29a4;0.29404303;0.54559046;0.6348491;0.45490843;chr5:142659304-142660222;Neurod2_+_(303g)
1450;Slc29a4;Gene;Slc29a4;0.29404303;0.54559046;0.6348491;0.45490843;chr5:142866646-142867596;Neurod2_+_(303g)
1451;Slc29a4;Gene;Slc29a4;0.29404303;0.54559046;0.6348491;0.45490843;chr5:142705687-142706479;Neurod2_+_(303g)
1452;Slc29a4;Gene;Slc29a4;0.29404303;0.54559046;0.6348491;0.45490843;chr5:142869152-142870088;Neurod2_+_(303g)
